id,spotify_track_id,source_row,source_genre,album,mood_method
1,4LRPiXqCikLlN15c3yImP7,81052,pop,As It Was,approximate feature/style rule; see data/README.md
2,6xGruZOHLs39ZbVccQTuPZ,81102,pop,Glimpse of Us,approximate feature/style rule; see data/README.md
3,0mBP9X2gPCuapvpZ7TGDk3,81024,pop,Left and Right (Feat. Jung Kook of BTS),approximate feature/style rule; see data/README.md
4,0VjIjW4GlUZAMYd2vXMi3b,81000,pop,After Hours,approximate feature/style rule; see data/README.md
5,2eAvDnpXP5W0cVtiI0PUxV,81015,pop,Safe Haven,approximate feature/style rule; see data/README.md
6,0T5iIrXA4p5GsubkhuBIKV,81050,pop,Until I Found You,approximate feature/style rule; see data/README.md
7,0u2P5u6lvoDfwTYjAADbn4,81053,pop,lovely (with Khalid),approximate feature/style rule; see data/README.md
8,5O2P9iiztwhomNh8xkR9lJ,81013,pop,FOUR (Deluxe),approximate feature/style rule; see data/README.md
9,3rmo8F54jFF8OgYsqTxm5d,81354,pop,=,approximate feature/style rule; see data/README.md
10,4ZtFanR9U6ndgddUvNcjcG,81702,pop,SOUR,approximate feature/style rule; see data/README.md
11,5XeFesFbtLpXzIVDNQP22n,91001,rock,AM,approximate feature/style rule; see data/README.md
12,2QjOHCTQ1Jl3zawyYOpxh6,91002,rock,I Love You.,approximate feature/style rule; see data/README.md
13,0HqZX76SFLDz2aW8aiqi7G,91012,rock,Bones,approximate feature/style rule; see data/README.md
14,3Wrjm47oTz2sjIgck11l5e,91013,rock,Chosen,approximate feature/style rule; see data/README.md
15,5UWwZ5lm5PKu6eKsHAGxOk,2367,alt-rock,The Colour And The Shape,approximate feature/style rule; see data/README.md
16,7o2CTH4ctstm8TNelqjb51,91111,rock,Appetite For Destruction,approximate feature/style rule; see data/README.md
17,4CeeEOM32jQcH3eN9Q2dGj,91304,rock,Nevermind (Remastered),approximate feature/style rule; see data/README.md
18,48UPSzbZjgc449aqz8bxox,91755,rock,Californication (Deluxe Edition),approximate feature/style rule; see data/README.md
19,70LcF31zb1H0PyJoS1Sx1r,91453,rock,Pablo Honey,approximate feature/style rule; see data/README.md
20,4u7EnebtmKWzUH433cf5Qv,91365,rock,A Night At The Opera (2011 Remaster),approximate feature/style rule; see data/README.md
